Gene.Symbol;BH.Q;ADJ.P;PER;LAG;AMP;ZT0_FPKM;ZT3_FPKM;ZT6_FPKM;ZT9_FPKM;ZT12_FPKM;ZT15_FPKM;ZT18_FPKM;ZT21_FPKM;ZT24_FPKM;ZT27_FPKM;ZT30_FPKM;ZT33_FPKM;ZT36_FPKM;ZT39_FPKM;ZT42_FPKM;ZT45_FPKM
Homer2;0.000664379769352488;8.36449349904211E-07;23.1;15.6;1.72968925279947;2.68833;2.80725;2.55073;3.29691;4.99688;6.58744;5.61095;3.9206;3.02232;2.52144;2.63628;3.22419;5.39822;7.23045;5.89618;3.8152
1700040L02Rik;0.000664379769352488;8.36449349904211E-07;26.1;8.55;0.663067463747468;0.519847;1.16333;1.71318;2.57983;1.18023;0.788921;0.494685;0.27182;0.494175;0.652953;1.16117;1.89932;1.96667;0.96453;0.50212;0.559119
Gas7;0.000664379769352488;8.36449349904211E-07;23.1;4.05;0.632053760324626;1.09647;1.73159;1.64332;0.85116;0.550626;0.328301;0.48016;1.04109;1.23548;1.78959;1.6212;0.869592;0.600029;0.376401;0.641151;0.916055
Cyp2a5;0.00113454051429415;2.14256751800155E-06;26.1;13.05;346.736881222635;143.853;194.939;233.572;571.516;939.938;827.408;635.786;347.355;132.749;177.738;211.022;452.73;875.661;855.757;695.366;363.625
Abcg8;0.00113454051429415;2.14256751800155E-06;23.1;8.55;13.5364703813734;11.0075;15.8132;25.0718;40.67;35.0005;19.8815;9.61204;9.22633;11.9185;18.2681;24.9642;38.7595;33.2345;16.7727;7.36176;9.58647
Mad2l2;0.00113454051429415;2.14256751800155E-06;23.1;2.55;9.38358982905796;24.5076;34.7006;26.383;16.1613;11.3256;11.2372;13.9197;20.3978;24.6786;25.9937;22.5874;16.8;10.0882;9.10863;14.7353;22.4529
Avpr1a;0.00113454051429415;2.14256751800155E-06;26.1;24.6;8.42746125274095;18.977;18.573;12.3103;6.65477;4.28926;6.55022;13.1063;18.2795;21.6836;20.8099;16.4692;9.34533;5.734;6.64718;13.7672;17.4977
Fgf1;0.00113454051429415;2.14256751800155E-06;23.1;18.6;7.90976716503084;25.1039;19.9942;17.8574;16.2379;22.6407;31.1103;40.0129;29.4882;23.9159;20.4023;17.4312;19.2882;24.511;43.0243;40.3625;25.8053
Wipf3;0.00113454051429415;2.14256751800155E-06;23.1;11.55;0.692355826624215;0.801406;0.907255;1.3439;1.90606;2.4533;1.70118;1.17148;0.741968;0.962678;0.958924;1.30153;1.73155;2.42811;1.71914;1.09634;0.857252
Rfx5;0.00113454051429415;2.14256751800155E-06;23.1;4.05;0.525062140370071;1.94628;2.125;2.18149;1.78197;1.36642;1.30852;1.44539;1.77245;1.81754;2.33499;2.0594;1.84679;1.47602;1.08114;1.57546;1.60313
Rnase4;0.0017280035957698;5.12806822485642E-06;23.1;11.55;205.439975778815;320.069;423.621;525.982;678.409;710.821;664.091;523.729;463.263;414.635;397.338;582.542;913.439;870.818;575.628;516.954;308.645
Elovl3;0.0017280035957698;5.12806822485642E-06;23.1;2.55;147.137748877778;373.411;631.944;231.189;59.2462;28.0686;23.1048;122.914;366.559;444.724;608.271;249.53;99.0494;25.9297;64.0113;208.063;370.675
Gabarapl1;0.0017280035957698;5.12806822485642E-06;23.1;7.05;89.5543667304951;160.995;208.738;344.604;273.209;247.809;146.56;109.816;151.835;163.841;218.777;275.054;283.985;234.344;122.009;95.0676;139.782
Bnip3;0.0017280035957698;5.12806822485642E-06;23.1;14.1;52.2062593404277;73.1927;56.7305;89.198;101.877;162.573;166.665;122.912;82.996;57.9038;55.6873;71.0193;102.072;145.436;148.352;113.886;68.7101
Tubb2a;0.0017280035957698;5.12806822485642E-06;23.1;0;48.5928729778864;107.95;148.065;57.0566;34.8018;10.5907;36.9442;69.8571;116.582;130.263;125.842;54.963;18.8353;10.0889;44.0965;97.5758;167.771
Cml5;0.0017280035957698;5.12806822485642E-06;23.1;20.1;34.2455349662551;63.7863;54.4951;31.6046;25.2013;28.9551;65.6746;96.5774;98.6167;47.7833;52.8013;16.8769;14.1081;35.5564;76.7936;112.983;97.5656
Mgrn1;0.0017280035957698;5.12806822485642E-06;23.1;10.05;6.22275180647597;13.2691;16.2017;22.3725;25.002;22.9511;20.1432;15.1969;14.6012;15.2816;17.5036;20.8366;22.0925;21.427;19.0984;15.7299;15.0598
Wrnip1;0.0017280035957698;5.12806822485642E-06;26.1;24.6;5.39784103554375;25.7101;21.8013;21.9133;14.6609;14.0611;15.6867;22.1543;25.6382;29.6952;26.8212;24.2741;20.1389;13.7427;15.6993;20.7643;23.0563
Blcap;0.0017280035957698;5.12806822485642E-06;23.1;0;4.33181392329472;16.0614;20.5789;13.0588;9.93529;8.7454;12.953;15.6241;15.7465;18.5029;15.4908;14.1481;11.0537;9.27489;13.6309;14.2706;15.9822
Micu1;0.0017280035957698;5.12806822485642E-06;23.1;5.55;4.12710651014122;12.8379;19.6103;15.7441;15.9821;12.4353;10.9182;9.90749;12.1171;13.8518;13.9165;14.1993;14.1746;11.1154;9.12995;9.49134;12.4138
Gfod2;0.0017280035957698;5.12806822485642E-06;23.1;21.6;2.54689255981677;7.97118;7.05839;5.08373;2.8708;3.07904;5.71386;6.6529;8.70053;7.33942;4.79219;4.63693;3.29553;3.09759;4.64238;6.06632;9.09348
Agl;0.0017280035957698;5.12806822485642E-06;23.1;11.55;0.757877048075742;2.89208;3.3353;3.52484;4.24575;4.61982;4.4071;3.92601;3.40532;3.35939;3.52451;3.92678;5.0948;4.75563;4.01111;3.39353;3.37352
Clpx;0.00247373318862702;0.0000115678170691192;26.1;24.6;53.2817687546125;100.316;99.4106;70.1322;24.9642;16.6823;22.7105;61.5504;109.398;109.442;115.148;77.2608;35.1208;16.5086;31.834;60.571;78.7328
Eci2;0.00247373318862702;0.0000115678170691192;23.1;11.55;34.1116089418984;95.0069;115.072;142.171;129.16;209.623;195.321;117.097;95.5377;95.3395;112.645;131.198;174.178;177.944;154.406;112.348;98.4143
Gm4952;0.00247373318862702;0.0000115678170691192;23.1;4.05;28.0664116481783;63.7991;80.0495;99.3813;52.7353;50.423;21.7725;40.3576;60.8713;75.5937;84.3567;84.3914;74.9854;34.4816;23.9624;41.709;62.0699
Tspan4;0.00247373318862702;0.0000115678170691192;23.1;17.1;23.9442619565732;52.5151;48.29;40.2849;59.0258;74.1472;111.672;95.2457;78.4583;60.4362;35.2728;33.1698;56.6815;82.6708;93.9394;89.3351;80.353
Fbxo21;0.00247373318862702;0.0000115678170691192;23.1;7.05;15.4890467626707;12.0839;18.3032;39.0733;35.8256;29.6851;12.8115;7.78028;11.0026;18.4108;26.2725;32.621;40.5223;22.3437;8.02584;7.13336;11.5959
Akr1c12;0.00247373318862702;0.0000115678170691192;26.1;11.55;14.5608842595496;74.715;75.8397;89.9208;95.0869;100.251;100.108;89.846;77.3043;60.266;77.761;79.7115;81.4204;92.0912;94.8979;90.9473;78.3126
Rdh9;0.00247373318862702;0.0000115678170691192;23.1;11.55;12.8590620849967;7.54449;8.69484;17.9869;26.8803;31.7425;24.92;15.9971;10.5735;8.04402;12.2952;15.7507;32.4026;30.4999;24.3031;22.3552;14.3708
Fkbp5;0.00247373318862702;0.0000115678170691192;23.1;15.6;11.6582674913213;9.95883;7.05408;5.74592;6.75852;25.5211;33.0711;22.2332;9.7529;7.9044;4.62945;6.60288;12.6334;19.0375;53.9236;18.799;9.35054
Ak4;0.00247373318862702;0.0000115678170691192;23.1;14.1;10.0499672596482;11.3236;9.94787;10.4723;19.0622;23.1707;25.5364;22.1314;15.5093;13.4453;11.3453;12.5404;18.7984;32.2097;29.4818;20.7698;12.1578
Ptp4a1;0.00247373318862702;0.0000115678170691192;23.1;15.6;6.04164761767847;8.02157;5.50112;6.59409;8.40488;20.5998;15.6087;14.0453;9.93921;5.62461;4.70256;6.00025;10.7239;12.2016;12.934;11.0115;8.75229
Leo1;0.00247373318862702;0.0000115678170691192;23.1;21.6;3.68756186388784;13.5239;12.3355;9.86656;7.03656;4.5748;10.3222;12.2638;13.2031;11.3501;11.9715;9.24454;5.67857;4.69987;9.93587;12.4477;14.1123
Eef1e1;0.00247373318862702;0.0000115678170691192;20.1;17.1;2.497571861829;16.7575;14.9893;9.45323;11.4166;14.794;16.5579;19.2129;15.4818;13.0995;10.089;12.1837;11.9117;17.825;16.0532;15.6455;11.6354
Per2;0.00247373318862702;0.0000115678170691192;26.1;15.6;2.45663745026611;1.75555;1.52537;1.01974;3.5463;4.84517;11.726;6.94785;3.20883;2.09363;0.906151;0.842097;1.89992;5.27956;9.79019;8.73378;5.26516
Mphosph10;0.00247373318862702;0.0000115678170691192;20.1;18.6;1.69954529071749;8.18277;6.40281;4.21787;3.79904;5.31393;6.62139;8.44891;6.4158;6.53391;3.95704;5.60781;5.68931;7.06196;7.32622;6.91965;5.73951
Gm11128;0.00247373318862702;0.0000115678170691192;23.1;18.6;0.914067036544913;1.41668;0.511338;0.620975;0.123994;0.759823;2.55924;2.61066;1.77182;1.02794;0.67466;0.117653;0.243493;1.55833;2.57495;2.97903;2.75025
Klhdc8a;0.00247373318862702;0.0000115678170691192;26.1;24.6;0.598608316681284;1.92019;1.51347;1.11878;0.372612;0.292619;0.66691;1.22772;1.40058;1.51583;1.29829;1.15019;0.725925;0.432088;0.609469;1.01232;1.20159
Cnnm3;0.00247373318862702;0.0000115678170691192;23.1;2.55;0.563542891402243;2.57509;3.33559;2.68387;2.33463;1.9662;1.90609;1.70321;2.3047;2.91261;3.08138;2.60554;1.95886;1.68811;1.72142;2.02326;2.70242
Crybg3;0.00247373318862702;0.0000115678170691192;23.1;20.1;0.452413989670965;2.78356;2.35273;1.82644;1.46645;2.14375;2.42556;2.55816;2.88339;2.50868;1.98949;1.81284;1.6554;2.13898;2.2482;2.45334;2.67343
Slc34a2;0.00247373318862702;0.0000115678170691192;23.1;0;0.346846624195076;1.54996;1.16594;0.0509261;0.0477004;0.0345788;0.105081;0.525094;0.703408;1.3372;0.650566;0.277864;0.0991371;0.0962132;0.192086;0.743618;0.75729
Thrsp;0.00335855429277262;0.0000247663176265607;23.1;17.1;1582.50426918871;677.098;496.343;269.378;1896.05;1501.86;3294.39;3314.96;1922.9;381.999;272.272;130.202;310.995;1526.63;4104.19;3472.86;2266.15
Ces1d;0.00335855429277262;0.0000247663176265607;26.1;18.6;173.0834765785;440.816;304.705;308.567;266.063;417.233;500.905;719.021;690.32;382.049;380.44;245.348;234.203;374.588;460.233;623.663;576.263
Lgals9;0.00335855429277262;0.0000247663176265607;23.1;4.05;128.623430604614;334.035;483.91;412.892;411.294;279.495;226.967;230.991;312.625;330.678;401.596;357.219;348.975;228.306;198.661;234.291;307.909
Atp6v1e1;0.00335855429277262;0.0000247663176265607;23.1;11.55;19.6807616194089;73.936;92.8996;97.8796;108.084;115.508;122.612;87.8399;79.2441;74.6213;81.8654;95.2395;98.5785;101.443;100.984;88.0373;77.9463
Eps8l2;0.00335855429277262;0.0000247663176265607;23.1;2.55;13.1289788855112;25.4897;37.1651;35.7263;20.4035;9.70972;12.5301;13.7559;25.295;31.0644;39.6516;29.4669;24.9326;8.0433;9.89521;15.7507;32.16
Mtss1;0.00335855429277262;0.0000247663176265607;23.1;14.1;11.7364876434562;21.4289;16.8245;14.2945;29.0232;37.3122;37.3321;30.7104;22.0677;14.1875;11.5996;15.5855;29.6911;32.2757;36.2325;27.3168;21.0275
Nampt;0.00335855429277262;0.0000247663176265607;23.1;15.6;9.86683367438866;8.06316;5.81889;6.70911;12.527;21.1514;20.7784;19.7727;12.5349;8.94158;7.66839;8.46203;12.1838;25.6136;28.3461;20.6172;10.3111
Acot12;0.00335855429277262;0.0000247663176265607;23.1;10.05;8.99729739449575;21.8899;23.4565;33.1114;36.1806;39.3828;30.7531;27.3204;26.2117;26.5563;30.5711;37.018;42.5573;41.9734;35.8706;28.8312;19.999
Cluh;0.00335855429277262;0.0000247663176265607;26.1;0;5.52596878429475;49.2342;58.2581;48.313;48.0584;36.4434;37.6937;45.4873;53.3022;62.3967;62.9186;53.6011;53.0464;41.3316;43.8179;44.4693;48.1509
Bok;0.00335855429277262;0.0000247663176265607;23.1;2.55;5.20190881754477;13.985;13.07;18.0476;9.41165;6.83696;5.71339;7.21499;12.1758;12.6893;15.5704;13.0288;8.14012;6.26804;5.65722;7.50203;13.0485
Spon2;0.00335855429277262;0.0000247663176265607;23.1;2.55;4.3849600689687;7.29103;7.25932;7.25784;2.9344;1.11227;1.05657;2.67564;5.1894;8.72263;9.68866;5.55234;3.98077;1.25777;0.761502;2.61115;7.92254
Arntl;0.00335855429277262;0.0000247663176265607;23.1;0;4.3410869216232;8.6504;8.99139;3.44286;0.474606;0.27189;1.4726;6.06024;8.34019;9.95123;9.97452;4.55358;0.543716;0.312941;2.99717;6.978;7.8783
Ndrg1;0.00335855429277262;0.0000247663176265607;23.1;2.55;4.24320637254423;8.2151;12.1604;8.07575;3.23852;3.01109;2.23163;2.07495;3.70595;10.8441;16.4248;7.48133;3.36238;2.87873;2.48854;2.38411;6.34018
Tnfaip2;0.00335855429277262;0.0000247663176265607;26.1;24.6;3.928890337239;13.7206;13.2051;11.1931;7.64881;5.02435;6.1459;8.73853;12.2041;13.9146;14.6304;12.2125;5.98935;5.42731;5.29351;10.4144;10.0362
Dpp9;0.00335855429277262;0.0000247663176265607;23.1;2.55;3.76866701168994;18.7784;24.3202;15.6629;14.1049;10.3332;13.3435;13.4614;17.6104;22.1286;20.8884;15.7503;14.3527;9.80664;12.8924;14.5585;18.9374
Lrrc28;0.00335855429277262;0.0000247663176265607;23.1;15.6;3.58437377130929;7.87233;9.9662;7.36003;10.1182;12.4291;23.1587;14.6691;11.6727;9.48314;7.10075;6.53729;9.05369;14.4967;15.2689;14.3804;11.314
Pcbp4;0.00335855429277262;0.0000247663176265607;23.1;7.05;3.20972031436541;7.04572;5.8851;10.1003;9.95844;8.67223;6.28285;2.97376;3.53066;5.46735;7.35943;10.0231;10.4423;8.1379;4.27718;2.74175;5.07219
Lgalsl;0.00335855429277262;0.0000247663176265607;23.1;0;3.09533872144068;9.49967;5.69967;3.65949;1.71328;1.3222;2.4356;8.47451;9.23757;9.03711;6.84679;4.77016;1.7128;1.35021;3.15273;8.01572;6.71812
Wee1;0.00335855429277262;0.0000247663176265607;23.1;14.1;2.88059746306213;1.081;0.50878;1.0717;3.11324;5.69079;4.3311;4.38079;1.92867;0.996127;0.699543;0.895396;3.38941;7.45139;5.60645;4.35956;1.33239
Slc16a1;0.00335855429277262;0.0000247663176265607;26.1;23.1;1.9759462604155;10.4654;10.2105;8.66569;4.94907;6.25525;6.8862;11.0907;10.5799;11.3833;10.1106;8.4181;7.69574;6.25806;6.5622;10.0668;10.3767
Rfxank;0.00335855429277262;0.0000247663176265607;23.1;0;1.93376026984991;9.49978;8.55813;4.78758;4.30586;3.01309;5.02685;5.06158;5.71039;6.98381;6.31462;4.88394;3.00184;2.4613;4.32064;5.03947;8.42755
Uvrag;0.00335855429277262;0.0000247663176265607;23.1;11.55;1.60518189076815;8.19541;9.18493;10.2772;11.455;12.831;11.0155;10.6655;9.82357;9.19068;9.39318;10.6804;12.3536;13.9841;11.6427;9.17002;8.67458
Wnt5b;0.00335855429277262;0.0000247663176265607;23.1;17.1;1.41005577449972;4.49769;4.04507;2.77924;3.67112;4.54012;5.66524;8.28185;7.19773;3.45119;3.71461;2.18185;2.77242;5.39712;7.58135;7.65515;4.98282
Hs1bp3;0.00335855429277262;0.0000247663176265607;23.1;7.05;1.39731371030274;4.13637;5.26432;5.08907;5.45244;4.37033;3.27121;2.74381;3.4735;4.13689;4.51284;4.72716;4.9885;4.14636;2.57906;2.30888;3.4761
Mthfr;0.00335855429277262;0.0000247663176265607;23.1;0;1.29524779618593;3.87749;3.09519;1.10517;0.606977;0.550343;1.08192;2.3821;2.74683;5.64174;3.99822;1.48232;0.822;0.612571;1.38566;3.10686;4.77353
Ciart;0.00335855429277262;0.0000247663176265607;26.1;11.55;1.03819609644831;0.224081;0.592632;0.739611;11.5151;22.7925;14.6676;1.42245;0.469749;0.271446;0.0992304;0.499901;6.85661;13.8855;9.16911;2.4886;0.805352
0610030E20Rik;0.00335855429277262;0.0000247663176265607;26.1;0;1.00834134103983;7.47163;6.80595;6.00626;5.63772;4.77813;4.00749;5.37994;6.26066;7.64842;7.199;7.49797;5.94421;4.20981;4.58014;5.24865;5.47726
Ezh1;0.00335855429277262;0.0000247663176265607;23.1;2.55;0.75313236157398;3.52609;3.91531;3.43413;3.65422;2.73187;2.31338;2.85022;3.22791;3.41627;3.99406;3.30645;3.27369;2.66189;2.69527;2.85614;3.27386
Caln1;0.00335855429277262;0.0000247663176265607;23.1;18.6;0.596260722167745;2.81426;2.75956;2.52108;1.70981;2.81504;3.36432;4.37969;3.39613;3.54388;2.53743;1.82122;1.8526;3.04902;4.28999;3.8952;3.6695
Ctc1;0.00335855429277262;0.0000247663176265607;23.1;4.05;0.407408764368785;1.36018;1.50077;1.49227;1.21037;0.924607;0.755953;0.692149;1.0858;1.18716;1.57771;1.23609;1.25186;0.848604;0.798798;0.782206;1.12863
Hsd3b7;0.00450268885949441;0.0000506147578630217;23.1;4.05;169.191560854849;316.944;373.257;434.231;368.258;194.958;115.637;170.189;285.38;312.306;444.138;429.33;375.784;193.714;134.335;198.687;245.854
Upp2;0.00450268885949441;0.0000506147578630217;26.1;11.55;95.9828866102963;71.8077;53.6483;129.243;391.926;434.08;207.548;180.814;120.432;49.0602;49.4328;79.5846;216.906;322.777;265.185;130.33;72.169
Amdhd1;0.00450268885949441;0.0000506147578630217;23.1;5.55;53.6439488479362;117.018;138.288;174.124;157.231;96.5066;81.367;69.8117;97.0723;101.256;130.157;135.969;120.754;94.2085;63.5224;59.6884;101.735
Rcl1;0.00450268885949441;0.0000506147578630217;23.1;8.55;41.0208907222284;54.0098;58.6311;111.971;117.528;109.552;55.4522;51.5397;60.0542;51.0336;86.9716;93.5969;116.348;90.1495;52.2357;45.8943;47.7445
Tef;0.00450268885949441;0.0000506147578630217;23.1;14.1;23.3418494054092;8.42704;5.36071;17.096;41.4374;50.8623;41.3835;28.7287;17.6254;9.0198;6.29881;14.1672;35.5599;53.4773;39.6251;26.7593;15.1941
Nr1d1;0.00450268885949441;0.0000506147578630217;23.1;8.55;19.2720892552222;1.17976;14.9182;53.1015;52.4286;20.1635;9.36901;1.40179;1.18186;1.09584;13.7158;35.0714;41.8638;13.729;4.61023;0.965198;1.1612
Pnp;0.00450268885949441;0.0000506147578630217;23.1;2.55;18.1436528984656;52.8969;61.9865;47.7048;36.1672;19.0013;27.2379;43.0498;54.9615;58.1664;57.9215;46.2081;33.5927;20.203;32.3097;45.0333;48.5236
Fus;0.00450268885949441;0.0000506147578630217;23.1;7.05;15.6020282841687;35.0659;34.4598;48.026;47.0679;37.7793;25.0033;15.1829;22.6974;23.8302;34.7335;35.1126;38.8493;27.5264;14.717;13.989;22.8565
Stra6l;0.00450268885949441;0.0000506147578630217;23.1;2.55;13.1380439944461;36.0049;44.3848;39.6936;32.5707;19.2447;21.1136;28.6479;39.4643;40.8042;46.6526;37.9195;35.9602;21.2552;21.4245;30.5293;36.0746
Acsm5;0.00450268885949441;0.0000506147578630217;23.1;10.05;11.4788179323918;36.4216;40.6956;48.2658;56.3859;56.8736;45.9216;39.1881;37.9638;35.2639;41.1373;50.085;55.3747;58.3061;42.8043;35.5941;35.9727
Anxa7;0.00450268885949441;0.0000506147578630217;23.1;11.55;10.359185055061;23.9834;27.5651;35.0448;40.4053;47.18;42.2152;28.5701;23.1994;22.7077;29.5156;30.5542;39.0084;43.2737;35.844;26.7357;28.638
Elovl6;0.00450268885949441;0.0000506147578630217;26.1;15.6;9.50782141944463;9.05322;7.66829;7.27863;17.8523;14.02;25.9597;31.5068;16.1476;11.3317;7.89598;8.15567;12.1645;24.1505;25.945;37.4331;22.1725
Casp6;0.00450268885949441;0.0000506147578630217;23.1;7.05;8.72393698395684;9.04479;10.8616;21.1109;20.2144;18.8959;7.9138;6.55839;8.61071;10.2589;13.3451;18.2787;20.2711;13.7455;7.47707;5.59359;7.04283
Psmd11;0.00450268885949441;0.0000506147578630217;23.1;2.55;7.68738208234767;42.0479;50.1736;47.5243;36.5696;32.9584;31.1763;35.6577;41.6945;44.8393;44.5166;44.5092;39.2159;31.8432;29.6926;32.9737;37.8865
Ppm1a;0.00450268885949441;0.0000506147578630217;23.1;11.55;6.62516627564924;26.555;30.8654;39.3668;40.2348;46.9196;37.2201;34.7345;33.7811;32.3546;31.4524;38.611;42.1878;47.409;37.26;32.7486;29.7611
Rnf19b;0.00450268885949441;0.0000506147578630217;23.1;10.05;4.53198878198082;11.5929;13.9138;18.0021;23.3625;18.8101;13.9141;15.0463;13.5408;12.2708;13.3271;18.1116;23.4678;22.8647;15.5005;13.4183;12.6496
Slc30a10;0.00450268885949441;0.0000506147578630217;23.1;0;4.05651604017536;8.98212;8.96012;6.10273;2.56633;1.59672;4.21784;7.69779;9.59115;11.8575;8.86332;7.4256;4.07271;2.98517;5.37879;9.77387;8.18764
Agtr1a;0.00450268885949441;0.0000506147578630217;23.1;5.55;3.75098934216028;18.7739;21.0939;27.4297;20.2985;18.4962;12.1035;15.7892;18.7407;20.1234;22.7413;25.3507;24.2121;19.2843;11.1566;13.3197;19.0325
Atp1b1;0.00450268885949441;0.0000506147578630217;23.1;14.1;3.72107872531609;14.4535;13.746;13.9942;16.5013;19.8123;25.4332;17.7097;13.2528;12.043;11.5795;14.5763;16.793;21.3897;18.5371;14.984;13.3476
Slc2a9;0.00450268885949441;0.0000506147578630217;23.1;10.05;3.30521508516466;8.65792;10.5347;12.2843;16.0569;13.5106;12.336;9.35962;9.4728;9.25042;11.2872;11.1549;14.1019;13.9522;9.72643;8.74187;8.39544
Commd7;0.00450268885949441;0.0000506147578630217;23.1;2.55;3.10936771997942;11.0414;10.1447;10.524;7.59829;6.51125;5.74739;6.50427;9.08658;9.84254;9.65161;8.48576;6.87977;6.38306;5.15611;6.65662;9.65304
Stom;0.00450268885949441;0.0000506147578630217;23.1;4.05;3.0676413488216;16.2274;23.9492;21.7337;15.7652;14.2206;13.3896;13.8025;17.2717;17.2372;19.2317;18.0878;18.876;14.1475;12.2444;14.0611;15.8268
Tmbim1;0.00450268885949441;0.0000506147578630217;26.1;5.55;2.78105097040669;23.0449;28.3728;24.4798;25.1746;23.7504;21.1347;20.8139;21.2416;22.5559;24.3109;23.7652;25.3552;24.4362;21.618;20.136;18.5553
Wdr91;0.00450268885949441;0.0000506147578630217;23.1;2.55;1.99289560996054;8.29511;10.095;10.2476;7.23812;5.63617;6.05658;6.02169;8.69217;10.4467;11.8546;8.97542;6.5748;4.43734;5.66619;7.58533;9.51357
Snrnp25;0.00450268885949441;0.0000506147578630217;23.1;8.55;1.948828715357;6.56048;8.02569;9.03737;14.2842;8.94593;6.73484;4.85892;6.59823;6.77594;7.50897;9.04493;8.16559;8.38528;6.9511;6.28558;6.66999
Rrm2;0.00450268885949441;0.0000506147578630217;26.1;13.05;1.80958524800574;1.59161;2.83327;1.75804;2.97216;6.09849;8.42407;5.11595;2.93663;1.79598;1.69861;1.92856;2.14023;5.31797;6.76344;4.28892;3.95765
Lrrc8d;0.00450268885949441;0.0000506147578630217;26.1;2.55;1.67239946138774;7.81001;10.6968;9.02811;7.67773;5.90106;5.9784;6.66298;7.68163;7.7946;10.2199;8.91555;8.13451;6.66441;5.24283;5.7146;6.74939
Dtx4;0.00450268885949441;0.0000506147578630217;26.1;24.6;1.6449637182777;3.70184;4.86708;2.55311;1.09459;0.590431;1.69651;3.01521;4.02284;4.95515;4.26657;3.78032;1.80326;0.813184;1.93004;3.08803;3.4937
Asap2;0.00450268885949441;0.0000506147578630217;26.1;24.6;1.6238070833846;3.08107;3.11385;2.32329;0.714591;0.428214;0.554192;1.57522;2.44528;3.48074;4.2001;2.66724;1.2198;0.542476;0.810496;1.70694;2.22439
Gm2061;0.00450268885949441;0.0000506147578630217;23.1;0;1.35958037113828;2.83187;2.40399;1.33213;0.855663;0.323703;1.01714;2.24644;2.66879;3.69991;2.33707;1.68849;1.25606;0.813311;1.53419;2.83468;2.2707
Map7;0.00450268885949441;0.0000506147578630217;23.1;2.55;1.09198500218639;7.84888;9.11856;7.20126;6.43388;5.65696;6.39882;6.13983;6.4704;7.61347;8.95001;7.61331;6.55431;5.13111;6.22519;6.2321;6.76879
Ap4m1;0.00450268885949441;0.0000506147578630217;23.1;5.55;0.893719331809489;3.07646;3.27165;3.70714;4.09514;3.00911;2.04734;2.44323;2.7202;3.21192;3.81305;4.85118;3.88503;2.97683;1.8887;2.27832;3.02579
